,Source language,Translation 1
168,( ( Tet ( a ) ∧ Prime ( a ) ) ∨ ∀ x Cube ( a ) ) ∨ ∀ x ( Dodec ( b ) ∧ Pet ( x ) ),"at least one of these holds : \n\t• a is a tetrahedron and a is a prime , for all x , a is a cube \n\t• for all x , b is a dodecahedron and x is a pet"
169,"¬ ( ( Large ( a ) ∨ Large ( a ) ) → ∀ x LeftOf ( b , c ) )","it is not the case that if a is large or large , then for all x , b is to the left of c"
170,¬ ∀ x Large ( x ) → ¬ ¬ Even ( a ),"if it is not the case that for all x , x is large , then it is not the case that a is not even"
171,"SameCol ( a , b ) → ¬ ( Medium ( b ) → Adjoins ( b , b ) )","if a is in the same column as b , then it is not the case that if b is medium , then b is adjacent to itself"
172,¬ ( Pet ( a ) ∨ ( Large ( b ) ∧ Pet ( b ) ) ),it is not the case that at least one of these holds : \n\t• a is a pet \n\t• b is large and b is a pet
173,"∃ x ( SameSize ( x , a ) ∧ Student ( x ) ) → ¬ ( Even ( b ) ∧ Large ( c ) )","if there is an element x such that x is of the same size as a and x is a student , then it is not the case that b is even and c is large"
174,∀ x ¬ ( Student ( x ) → Pet ( a ) ),"for all x , it is not the case that if x is a student , then a is a pet"
175,"( ∀ x Medium ( a ) ∧ ∀ y Small ( y ) ) ∧ LeftOf ( b , b )","for all x , a is medium , for all y , y is small and b is to the left of itself"
176,"∀ x ( ∃ x Smaller ( a , a ) → Even ( a ) )","for all x , if there is an element x such that a is smaller than itself , then a is even"
177,∃ x ( Small ( a ) ∨ Large ( x ) ) ∨ ¬ ∃ y Even ( y ),there is an element x such that a is small or x is large or it is not the case that there is an element y such that y is even
178,"( ( Dodec ( a ) ∨ Dodec ( a ) ) → Smaller ( b , a ) ) → ∀ x ∀ y SameCol ( x , x )","if if a is a dodecahedron or a is a dodecahedron , then b is smaller than a , then for all x , for all y , x is in the same column as itself"
179,"∃ x ( Small ( a ) → ( SameRow ( x , a ) ∨ Smaller ( x , x ) ) )","there is an element x such that if a is small , then x is in the same row as a or x is smaller than itself"
180,"( ∀ x SameShape ( x , x ) ∧ Person ( a ) ) ∧ ( Even ( b ) ∨ ( SameRow ( a , a ) ∧ Small ( a ) ) )","for all x , x is of the same shape as itself , a is a person and at least one of these holds : \n\t• b is even \n\t• a is in the same row as itself and a is small"
181,∃ x ∀ y Pet ( a ) ∨ ∃ z ∀ w Prime ( a ),"there is an element x such that for all y , a is a pet or there is an element z such that for all w , a is a prime"
182,"∃ x ( Prime ( a ) ∨ Small ( a ) ) → ( ¬ SameSize ( a , b ) ∨ SameCol ( b , c ) )","if there is an element x such that a is a prime or a is small , then a is not of the same size as b or b is in the same column as c"
183,∀ x ( ∃ y Student ( a ) ∧ ( Large ( x ) → Tet ( b ) ) ),"for all x , all these hold : \n\t• there is an element y such that a is a student \n\t• if x is large , then b is a tetrahedron"
184,"Cube ( a ) ∧ ∃ x ( RightOf ( a , x ) → Pet ( a ) )","a is a cube and there is an element x such that if a is to the right of x , then a is a pet"
185,∀ x ( Even ( x ) ∧ Tet ( a ) ) ∧ ∃ y Small ( y ),"for all x , x is even and a is a tetrahedron and there is an element y such that y is small"
186,"∃ x ( Person ( x ) ∨ RightOf ( a , a ) ) ∨ ¬ ¬ Large ( a )",there is an element x such that x is a person or a is to the right of itself or it is not the case that a is not large
187,"( ¬ Small ( a ) → ( Even ( a ) ∨ Medium ( a ) ) ) ∨ ∃ x ( SameSize ( x , x ) ∧ Larger ( x , a ) )","at least one of these holds : \n\t• if a is not small , then a is even or medium \n\t• there is an element x such that x is of the same size as itself and x is larger than a"
188,"∃ x ∃ y ( Small ( x ) → SameShape ( a , b ) )","there is an element x such that there is an element y such that if x is small , then a is of the same shape as b"
189,"( ¬ SameSize ( a , a ) ∨ ∃ x Student ( a ) ) → Larger ( a , a )","if a is not of the same size as a or there is an element x such that a is a student , then a is larger than itself"
190,"( ∀ x Prime ( a ) ∧ ∀ y Medium ( b ) ) ∧ ∃ z ( Smaller ( a , c ) → Prime ( z ) )","for all x , a is a prime , for all y , b is medium and there is an element z such that if a is smaller than c , then z is a prime"
191,¬ ¬ Small ( a ) → ¬ Small ( a ),"if it is not the case that a is not small , then a is not small"
192,"¬ ∃ x SameSize ( a , x ) ∧ ¬ ∃ x SameRow ( x , x )",it is not the case that there is an element x such that a is of the same size as x and it is not the case that there is an element x such that x is in the same row as itself
193,"¬ SameShape ( a , b ) ∨ ( ∀ x Small ( x ) → ( Even ( b ) → SameSize ( b , b ) ) )","at least one of these holds : \n\t• a is not of the same shape as b \n\t• if for all x , x is small , then if b is even , then b is of the same size as itself"
194,"∀ x Dodec ( x ) → ( ( Smaller ( a , a ) ∧ Small ( b ) ) ∧ ∀ x Small ( x ) )","if for all x , x is a dodecahedron , then a is smaller than itself , b is small and for all x , x is small"
195,"∃ x SameCol ( a , x ) → Person ( b )","if there is an element x such that a is in the same column as x , then b is a person"
196,"∀ x ∃ x ( Adjoins ( x , x ) ∧ SameCol ( a , a ) )","for all x , there is an element x such that x is adjacent to itself and a is in the same column as itself"
197,∃ x ¬ ( Small ( x ) ∨ Even ( x ) ),there is an element x such that it is not the case that x is small or even
198,"∀ x ∃ x ∀ x SameShape ( a , x )","for all x , there is an element x such that for all x , a is of the same shape as x"
199,∀ x ¬ Student ( x ) ∨ ∃ x ¬ Pet ( x ),"for all x , x is not a student or there is an element x such that x is not a pet"
200,"∀ x SameRow ( x , x )","for all x , x is in the same row as itself"
201,"∃ x ( Large ( a ) → SameRow ( x , x ) ) ∨ ( ∃ x Student ( x ) → ∀ y Larger ( y , y ) )","at least one of these holds : \n\t• there is an element x such that if a is large , then x is in the same row as itself \n\t• if there is an element x such that x is a student , then for all y , y is larger than itself"
202,"∀ x ( ( RightOf ( x , x ) ∧ Tet ( x ) ) → ( SameShape ( a , a ) ∧ Even ( x ) ) )","for all x , if x is to the right of itself and x is a tetrahedron , then a is of the same shape as itself and x is even"
203,¬ ( ( Pet ( a ) ∨ Small ( a ) ) ∧ ( Cube ( b ) ∨ Even ( b ) ) ),it is not the case that all these hold : \n\t• a is a pet or a is small \n\t• b is a cube or b is even
204,¬ Dodec ( a ) → Dodec ( a ),"if a is not a dodecahedron , then a is a dodecahedron"
205,"¬ ( Tet ( a ) ∨ SameShape ( b , c ) ) ∧ ∀ x ( Large ( x ) ∨ Prime ( x ) )","it is not the case that a is a tetrahedron or b is of the same shape as c and for all x , x is large or x is a prime"
206,¬ ( Pet ( a ) → Medium ( a ) ) ∧ ∃ x ( Small ( b ) → Student ( x ) ),"it is not the case that if a is a pet , then a is medium and there is an element x such that if b is small , then x is a student"
207,"( ( SameShape ( a , b ) → Person ( c ) ) ∧ Even ( d ) ) ∨ ¬ Large ( a )","all these hold : \n\t• if a is of the same shape as b , then c is a person \n\t• d is even or a is not large"
208,( ¬ Medium ( a ) → ∀ x Small ( a ) ) ∨ ∃ x ( Cube ( a ) ∧ Tet ( x ) ),"at least one of these holds : \n\t• if a is not medium , then for all x , a is small \n\t• there is an element x such that a is a cube and x is a tetrahedron"
209,Large ( a ) → ( ( Even ( a ) ∨ Dodec ( b ) ) ∨ Pet ( c ) ),"if a is large , then a is even , b is a dodecahedron or c is a pet"
210,"( ∀ x Cube ( a ) ∧ ( SameRow ( a , a ) → Student ( b ) ) ) ∧ ∀ y ∀ z Dodec ( a )","all these hold : \n\t• for all x , a is a cube , if a is in the same row as itself , then b is a student \n\t• for all y , for all z , a is a dodecahedron"
211,"( ∃ x SameSize ( a , x ) → ∃ y Larger ( a , a ) ) → ¬ ( Student ( a ) ∧ Small ( b ) )","if if there is an element x such that a is of the same size as x , then there is an element y such that a is larger than itself , then it is not the case that a is a student and b is small"
212,"∃ x ∃ x Person ( x ) ∨ ( ∃ y Small ( y ) ∨ ( Cube ( a ) → BackOf ( b , c ) ) )","at least one of these holds : \n\t• there is an element x such that there is an element x such that x is a person , there is an element y such that y is small \n\t• if a is a cube , then b is in back of c"
213,"( ¬ Even ( a ) → Even ( b ) ) ∧ SameRow ( a , c )","all these hold : \n\t• if a is not even , then b is even \n\t• a is in the same row as c"
214,"∀ x ∀ x Even ( x ) → ∀ y ¬ SameRow ( a , a )","if for all x , for all x , x is even , then for all y , a is not in the same row as a"
215,"∃ x ∀ y Cube ( x ) ∨ ¬ ( RightOf ( a , b ) ∧ Prime ( b ) )","there is an element x such that for all y , x is a cube or it is not the case that a is to the right of b and b is a prime"
216,( ¬ Small ( a ) ∨ ( Student ( b ) ∨ Small ( a ) ) ) ∧ ¬ Medium ( a ),"all these hold : \n\t• a is not small , b is a student or a is small \n\t• a is not medium"
217,"∀ x ∀ x FrontOf ( a , b ) → Large ( c )","if for all x , for all x , a is in front of b , then c is large"
218,"∀ x ∃ x ( Adjoins ( x , a ) → Medium ( b ) )","for all x , there is an element x such that if x is adjacent to a , then b is medium"
219,∀ x ( ¬ Medium ( a ) ∧ Student ( b ) ),"for all x , a is not medium and b is a student"
220,"¬ ¬ Larger ( a , a ) ∧ ¬ Pet ( b )",it is not the case that a is not larger than a and b is not a pet
221,"¬ ( ( Dodec ( a ) ∧ SameShape ( b , a ) ) ∧ ( Medium ( b ) ∨ Even ( c ) ) )","it is not the case that all these hold : \n\t• a is a dodecahedron , b is of the same shape as a \n\t• b is medium or c is even"
222,"∀ x ( ( Large ( a ) → SameCol ( x , b ) ) ∧ Small ( x ) )","for all x , all these hold : \n\t• if a is large , then x is in the same column as b \n\t• x is small"
223,"∀ x ∀ y ∀ x LeftOf ( a , a )","for all x , for all y , for all x , a is to the left of itself"
224,"¬ ( ( Large ( a ) ∧ RightOf ( b , b ) ) → ∀ x Medium ( x ) )","it is not the case that if a is large and b is to the right of itself , then for all x , x is medium"
225,"Medium ( a ) ∧ ( ∀ x SameCol ( x , b ) ∧ ( SameShape ( a , b ) ∨ Large ( c ) ) )","all these hold : \n\t• a is medium , for all x , x is in the same column as b \n\t• a is of the same shape as b or c is large"
226,"( ( Tet ( a ) ∨ Even ( b ) ) ∨ ( Small ( c ) ∨ Pet ( d ) ) ) ∧ FrontOf ( a , d )","all these hold : \n\t• a is a tetrahedron , b is even , c is small or d is a pet \n\t• a is in front of d"
227,"∃ x ( BackOf ( x , a ) ∨ Tet ( x ) ) ∧ ( ∃ y SameRow ( b , c ) ∧ ∃ x Prime ( d ) )","there is an element x such that x is in back of a or x is a tetrahedron , there is an element y such that b is in the same row as c and there is an element x such that d is a prime"
228,¬ ∀ x Large ( a ) ∧ ∃ y ¬ Even ( b ),"it is not the case that for all x , a is large and there is an element y such that b is not even"
229,"( ( Adjoins ( a , b ) → Dodec ( c ) ) ∨ ¬ Adjoins ( b , b ) ) → ∃ x ( Pet ( d ) ∨ Large ( x ) )","if at least one of these holds : \n\t• if a is adjacent to b , then c is a dodecahedron \n\t• b is not adjacent to b , then there is an element x such that d is a pet or x is large"
230,"( ¬ SameCol ( a , b ) ∧ ∃ x BackOf ( b , a ) ) ∧ Pet ( b )","a is not in the same column as b , there is an element x such that b is in back of a and b is a pet"
231,¬ ∀ x ( Large ( a ) ∧ Cube ( a ) ),"it is not the case that for all x , a is large and a is a cube"
232,( ∃ x Dodec ( a ) → ( Even ( b ) ∨ Student ( a ) ) ) ∨ ∀ x ∀ x Tet ( x ),"at least one of these holds : \n\t• if there is an element x such that a is a dodecahedron , then b is even or a is a student \n\t• for all x , for all x , x is a tetrahedron"
233,"( ∀ x Tet ( a ) ∨ ¬ Person ( a ) ) ∧ ∀ y ¬ Adjoins ( a , y )","all these hold : \n\t• for all x , a is a tetrahedron or a is not a person \n\t• for all y , a is not adjacent to y"
234,"¬ ∃ x Pet ( a ) ∨ ( ∃ y SameShape ( b , y ) ∨ ( RightOf ( a , b ) → FrontOf ( b , b ) ) )","at least one of these holds : \n\t• it is not the case that there is an element x such that a is a pet , there is an element y such that b is of the same shape as y \n\t• if a is to the right of b , then b is in front of itself"
235,"∃ x ¬ ∃ x FrontOf ( a , b )",there is an element x such that it is not the case that there is an element x such that a is in front of b
236,"¬ ( ¬ SameRow ( a , b ) ∧ Pet ( c ) )",it is not the case that a is not in the same row as b and c is a pet
237,"∀ x ∃ y ( Pet ( y ) ∧ SameCol ( a , y ) )","for all x , a is in the same column as some pet"
238,"¬ ¬ ¬ Larger ( a , b )",it is not the case that it is not the case that a is not larger than b
239,"¬ ∀ x Even ( a ) → Larger ( b , c )","if it is not the case that for all x , a is even , then b is larger than c"
240,"( ( Medium ( a ) ∧ Pet ( b ) ) → ( Large ( b ) → FrontOf ( c , d ) ) ) ∧ ∃ x ∀ x RightOf ( x , b )","all these hold : \n\t• if a is medium and b is a pet , then if b is large , then c is in front of d \n\t• there is an element x such that for all x , x is to the right of b"
241,"( ∀ x Even ( x ) → ( BackOf ( a , a ) → Small ( a ) ) ) ∨ Medium ( a )","at least one of these holds : \n\t• if for all x , x is even , then if a is in back of itself , then a is small \n\t• a is medium"
242,"∀ x ( Even ( a ) → SameSize ( a , b ) ) ∨ ( SameSize ( c , c ) → ( Even ( a ) ∧ Medium ( c ) ) )","at least one of these holds : \n\t• for all x , if a is even , then a is of the same size as b \n\t• if c is of the same size as itself , then a is even and c is medium"
243,"( BackOf ( a , b ) → Even ( a ) ) ∨ ¬ ( FrontOf ( a , a ) ∧ Adjoins ( b , b ) )","at least one of these holds : \n\t• if a is in back of b , then a is even \n\t• it is not the case that a is in front of itself and b is adjacent to itself"
244,"∃ x ∀ x ( SameShape ( a , a ) ∧ BackOf ( b , x ) )","there is an element x such that for all x , a is of the same shape as itself and b is in back of x"
245,"∀ x ∀ x ∀ x LeftOf ( x , a )","for all x , for all x , for all x , x is to the left of a"
246,¬ ( ( Person ( a ) ∨ Tet ( a ) ) ∧ ( Student ( a ) → Tet ( a ) ) ),"it is not the case that all these hold : \n\t• a is a person or a is a tetrahedron \n\t• if a is a student , then a is a tetrahedron"
247,"∃ x ( ( Student ( a ) → Pet ( a ) ) ∧ ( Adjoins ( a , b ) ∧ Larger ( x , x ) ) )","there is an element x such that all these hold : \n\t• if a is a student , then a is a pet , a is adjacent to b \n\t• x is larger than itself"
248,"( ¬ Medium ( a ) ∧ ( Adjoins ( b , b ) → Smaller ( c , c ) ) ) ∧ ¬ ( Small ( c ) ∨ Medium ( d ) )","all these hold : \n\t• a is not medium , if b is adjacent to itself , then c is smaller than itself \n\t• it is not the case that c is small or d is medium"
249,"( ( Even ( a ) ∨ Even ( b ) ) ∧ ( Prime ( a ) ∨ SameRow ( b , a ) ) ) ∧ Even ( c )","all these hold : \n\t• a or b is even , a is a prime or b is in the same row as a \n\t• c is even"
250,"( ( Even ( a ) → Student ( b ) ) ∧ ∀ x Larger ( x , x ) ) → Medium ( c )","if all these hold : \n\t• if a is even , then b is a student \n\t• for all x , x is larger than itself , then c is medium"
251,"∃ x ∀ x ( Even ( a ) ∨ SameRow ( x , x ) )","there is an element x such that for all x , a is even or x is in the same row as itself"
252,"( ¬ Large ( a ) ∨ ∀ x Small ( a ) ) ∧ ( ¬ Larger ( a , b ) → ∃ x LeftOf ( x , c ) )","all these hold : \n\t• a is not large or for all x , a is small \n\t• if a is not larger than b , then there is an element x such that x is to the left of c"
253,"∃ x ∀ y ( Even ( y ) ∧ SameSize ( a , b ) )","there is an element x such that for all y , y is even and a is of the same size as b"
254,¬ ( ∀ x Large ( a ) ∧ ∀ x Student ( x ) ),"it is not the case that for all x , a is large and for all x , x is a student"
255,"∃ x LeftOf ( a , x )",there is an element x such that a is to the left of x
256,∃ x ( Small ( x ) ∨ ∀ x Even ( x ) ),"there is an element x such that x is small or for all x , x is even"
257,"∀ x ¬ ( Medium ( a ) → SameCol ( a , x ) )","for all x , it is not the case that if a is medium , then a is in the same column as x"
258,∀ x ∀ x ∀ x Person ( a ),"for all x , for all x , for all x , a is a person"
259,"∃ x ( Prime ( x ) → Large ( x ) ) → ∃ y ( Adjoins ( a , y ) ∨ Adjoins ( y , y ) )","if there is an element x such that if x is a prime , then x is large , then there is an element y such that a is adjacent to y or y is adjacent to itself"
260,¬ ∃ x ( Prime ( a ) → Medium ( a ) ),"it is not the case that there is an element x such that if a is a prime , then a is medium"
261,"∀ x ( ∃ y FrontOf ( y , y ) → ( Small ( a ) ∧ Person ( b ) ) )","for all x , if there is an element y such that y is in front of itself , then a is small and b is a person"
262,"( Prime ( a ) ∨ SameSize ( a , b ) ) → Person ( b )","if a is a prime or a is of the same size as b , then b is a person"
263,"( ( BackOf ( a , a ) ∧ Medium ( b ) ) ∧ ( Prime ( a ) → Large ( c ) ) ) → Large ( a )","if all these hold : \n\t• a is in back of itself , b is medium \n\t• if a is a prime , then c is large , then a is large"
264,"Even ( a ) ∧ ( ∀ x Tet ( x ) ∨ ¬ SameShape ( a , a ) )","all these hold : \n\t• a is even \n\t• for all x , x is a tetrahedron or a is not of the same shape as a"
265,"LeftOf ( a , b ) ∨ ( ∀ x Large ( x ) ∨ ¬ SameCol ( c , d ) )","a is to the left of b , for all x , x is large or c is not in the same column as d"
266,∃ x ¬ ∃ x Even ( a ),there is an element x such that it is not the case that there is an element x such that a is even
267,"∃ x ( ( Adjoins ( a , a ) ∧ Small ( x ) ) ∧ Medium ( b ) )","there is an element x such that a is adjacent to itself , x is small and b is medium"
268,∃ x ∀ x ( Large ( x ) ∧ Medium ( x ) ),"there is an element x such that for all x , x is large and medium"
269,"¬ ¬ ( Even ( a ) ∨ RightOf ( a , a ) )",it is not the case that it is not the case that a is even or a is to the right of itself
270,"∀ x ( ¬ RightOf ( x , a ) ∧ ( Even ( x ) ∧ Smaller ( a , x ) ) )","for all x , x is not to the right of a , x is even and a is smaller than x"
271,"∃ x ( ( BackOf ( x , a ) ∨ SameSize ( x , x ) ) ∨ ∃ y Dodec ( b ) )","there is an element x such that x is in back of a , x is of the same size as itself or there is an element y such that b is a dodecahedron"
272,"( ( Medium ( a ) ∨ Prime ( b ) ) ∧ ∃ x Large ( a ) ) ∧ ¬ ( Small ( b ) ∨ BackOf ( b , c ) )","all these hold : \n\t• a is medium or b is a prime , there is an element x such that a is large \n\t• it is not the case that b is small or in back of c"
273,¬ ∀ x Large ( x ) → Even ( a ),"if it is not the case that for all x , x is large , then a is even"
274,"∃ x ∃ y ¬ Smaller ( a , x )",there is an element x such that there is an element y such that a is not smaller than x
275,"∀ x ∀ y Pet ( y ) → ∃ z ( SameRow ( z , a ) ∨ Smaller ( z , a ) )","if for all x , for all y , y is a pet , then there is an element z such that z is in the same row as a or smaller than a"
276,¬ Dodec ( a ) ∨ ∃ x ( Tet ( b ) ∨ Tet ( x ) ),a is not a dodecahedron or there is an element x such that b is a tetrahedron or x is a tetrahedron
277,"Small ( a ) → ∃ x ( Even ( b ) ∨ SameSize ( b , x ) )","if a is small , then there is an element x such that b is even or of the same size as x"
278,∀ x ¬ ∀ y Prime ( a ),"for all x , it is not the case that for all y , a is a prime"
279,"Adjoins ( a , a ) ∨ ∀ x ∀ x Dodec ( x )","a is adjacent to itself or for all x , for all x , x is a dodecahedron"
280,"∃ x ( LeftOf ( a , b ) ∨ Small ( b ) ) ∨ LeftOf ( b , c )",there is an element x such that a is to the left of b or b is small or b is to the left of c
281,∃ x ∃ x ( Pet ( a ) ∧ Medium ( x ) ),there is an element x such that there is an element x such that a is a pet and x is medium
282,"∃ x ( ( Pet ( a ) → SameSize ( b , x ) ) ∧ ( Tet ( a ) ∧ Even ( x ) ) )","there is an element x such that all these hold : \n\t• if a is a pet , then b is of the same size as x , a is a tetrahedron \n\t• x is even"
283,¬ ∀ x ( Small ( x ) ∨ Even ( x ) ),"it is not the case that for all x , x is small or even"
284,"∃ x ∀ y FrontOf ( y , x ) → ( ( SameRow ( a , a ) → Small ( a ) ) ∧ ∃ z FrontOf ( a , z ) )","if there is an element x such that for all y , y is in front of x , then all these hold : \n\t• if a is in the same row as itself , then a is small \n\t• there is an element z such that a is in front of z"
285,"∀ x ( ( BackOf ( x , x ) ∨ RightOf ( a , x ) ) ∨ ( Even ( a ) → BackOf ( b , x ) ) )","for all x , at least one of these holds : \n\t• x is in back of itself , a is to the right of x \n\t• if a is even , then b is in back of x"
286,"( ∀ x Prime ( a ) ∨ ( Adjoins ( b , a ) ∨ Prime ( c ) ) ) ∧ Medium ( a )","all these hold : \n\t• for all x , a is a prime , b is adjacent to a or c is a prime \n\t• a is medium"
287,¬ ( ∀ x Dodec ( a ) ∨ ∃ y Large ( a ) ),"it is not the case that for all x , a is a dodecahedron or there is an element y such that a is large"
288,¬ ∃ x ( Small ( a ) ∧ Medium ( b ) ),it is not the case that there is an element x such that a is small and b is medium
289,"∀ x ( ∃ y SameShape ( a , y ) → ( Dodec ( b ) → Even ( a ) ) )","for all x , if there is an element y such that a is of the same shape as y , then if b is a dodecahedron , then a is even"
290,"∀ x ( Large ( a ) → ∀ x SameShape ( b , b ) )","for all x , if a is large , then for all x , b is of the same shape as itself"
291,∃ x ∃ y ( Prime ( a ) ∨ Tet ( a ) ),there is an element x such that there is an element y such that a is a prime or a is a tetrahedron
292,"¬ ( ( LeftOf ( a , b ) ∨ Smaller ( b , b ) ) → ( LeftOf ( a , b ) → SameShape ( a , c ) ) )","it is not the case that if a is to the left of b or b is smaller than itself , then if a is to the left of b , then a is of the same shape as c"
293,"∀ x FrontOf ( x , a )","for all x , x is in front of a"
294,"( RightOf ( a , a ) ∨ ( Medium ( b ) ∨ Medium ( c ) ) ) ∧ ¬ ( Smaller ( d , e ) ∧ Student ( b ) )","all these hold : \n\t• a is to the right of itself , b is medium or c is medium \n\t• it is not the case that d is smaller than e and b is a student"
295,"∃ x ∀ x ( Cube ( a ) → SameSize ( x , b ) )","there is an element x such that for all x , if a is a cube , then x is of the same size as b"
296,∃ x ∀ x ¬ Large ( a ),"there is an element x such that for all x , a is not large"
297,"∃ x ( ∀ y Tet ( a ) ∧ ( SameRow ( b , a ) ∨ Student ( x ) ) )","there is an element x such that all these hold : \n\t• for all y , a is a tetrahedron \n\t• b is in the same row as a or x is a student"
298,"∀ x ( SameSize ( x , x ) ∧ Dodec ( a ) )","for all x , x is of the same size as itself and a is a dodecahedron"
299,"∀ x ¬ Medium ( x ) → ( ∃ y Prime ( a ) ∨ ( FrontOf ( a , a ) ∨ LeftOf ( b , a ) ) )","if for all x , x is not medium , then there is an element y such that a is a prime , a is in front of itself or b is to the left of a"
300,"∃ x LeftOf ( a , a ) ∨ ( Adjoins ( b , a ) ∨ Even ( a ) )","there is an element x such that a is to the left of itself , b is adjacent to a or a is even"
301,∀ x ¬ Student ( x ) ∧ ( ∃ x Tet ( x ) ∧ ¬ Even ( a ) ),"for all x , x is not a student , there is an element x such that x is a tetrahedron and a is not even"
302,∃ x ( ∀ y Small ( a ) ∧ ¬ Small ( a ) ),"there is an element x such that for all y , a is small and a is not small"
303,"¬ ( ∃ x Small ( x ) ∨ ¬ SameCol ( a , a ) )",it is not the case that there is an element x such that x is small or a is not in the same column as a
304,"¬ Large ( a ) ∧ ∃ x ¬ SameSize ( b , x )",a is not large and there is an element x such that b is not of the same size as x
305,"¬ ∃ x ( SameSize ( x , a ) ∧ Large ( a ) )",it is not the case that there is an element x such that x is of the same size as a and a is large
306,"( ¬ Large ( a ) ∧ ∀ x SameShape ( b , x ) ) ∧ ∀ y ¬ Medium ( y )","a is not large , for all x , b is of the same shape as x and for all y , y is not medium"
307,"∃ x ∃ y ( Dodec ( a ) ∨ BackOf ( x , x ) )",there is an element x such that there is an element y such that a is a dodecahedron or x is in back of itself
308,"Student ( a ) → ( ( SameRow ( b , a ) ∧ Smaller ( c , d ) ) → ( Prime ( c ) ∨ Dodec ( d ) ) )","if a is a student , then if b is in the same row as a and c is smaller than d , then c is a prime or d is a dodecahedron"
309,"( ( Tet ( a ) ∧ Person ( b ) ) ∧ Tet ( a ) ) ∨ ∃ x ( SameShape ( x , x ) ∧ Medium ( x ) )","at least one of these holds : \n\t• a is a tetrahedron , b is a person and a is a tetrahedron \n\t• there is an element x such that x is of the same shape as itself and x is medium"
310,"( LeftOf ( a , a ) ∧ ( Even ( b ) ∧ Dodec ( b ) ) ) ∨ ¬ ∀ x Larger ( a , a )","at least one of these holds : \n\t• a is to the left of itself , b is even and b is a dodecahedron \n\t• it is not the case that for all x , a is larger than itself"
311,∀ x ∀ x ¬ Even ( a ),"for all x , for all x , a is not even"
312,"∀ x ∀ y Even ( a ) ∧ ∃ x ∀ x Smaller ( b , x )","for all x , for all y , a is even and there is an element x such that for all x , b is smaller than x"
313,"( ( LeftOf ( a , b ) ∧ Even ( b ) ) → ¬ Medium ( a ) ) → ( ∃ x SameSize ( c , x ) ∨ ∃ x Even ( c ) )","if if a is to the left of b and b is even , then a is not medium , then there is an element x such that c is of the same size as x or there is an element x such that c is even"
314,"( ( Dodec ( a ) → SameCol ( b , c ) ) ∨ ( SameShape ( b , b ) ∧ Tet ( a ) ) ) ∧ ∃ x ∃ y Even ( y )","at least one of these holds : \n\t• if a is a dodecahedron , then b is in the same column as c \n\t• b is of the same shape as itself and a is a tetrahedron and there is an element x such that there is an element y such that y is even"
315,¬ ( ¬ Student ( a ) ∨ ( Prime ( a ) → Tet ( a ) ) ),"it is not the case that at least one of these holds : \n\t• a is not a student \n\t• if a is a prime , then a is a tetrahedron"
316,( ∃ x Prime ( x ) → ∀ x Small ( x ) ) → ∀ x ¬ Small ( x ),"if if there is an element x such that x is a prime , then for all x , x is small , then for all x , x is not small"
317,"∃ x ( SameCol ( a , a ) ∨ Medium ( x ) ) ∨ ∃ x ∃ y Medium ( a )",there is an element x such that a is in the same column as itself or x is medium or there is an element x such that there is an element y such that a is medium
318,"¬ ( ( Smaller ( a , a ) ∧ Small ( b ) ) → ( LeftOf ( c , b ) → Even ( a ) ) )","it is not the case that if a is smaller than itself and b is small , then if c is to the left of b , then a is even"
319,"∃ x ¬ ( FrontOf ( a , x ) → FrontOf ( a , x ) )","there is an element x such that it is not the case that if a is in front of x , then a is in front of x"
320,"¬ ( Large ( a ) → Pet ( a ) ) → ( ( SameShape ( a , a ) ∧ Pet ( a ) ) ∨ ¬ Prime ( b ) )","if it is not the case that if a is large , then a is a pet , then at least one of these holds : \n\t• a is of the same shape as itself and a is a pet \n\t• b is not a prime"
321,"∀ x ∀ x Even ( x ) → ∀ x ( Larger ( a , b ) ∧ SameSize ( x , x ) )","if for all x , for all x , x is even , then for all x , a is larger than b and x is of the same size as itself"
322,"¬ ( ( SameShape ( a , b ) ∨ SameShape ( b , a ) ) → ∀ x LeftOf ( x , x ) )","it is not the case that if a is of the same shape as b or b is of the same shape as a , then for all x , x is to the left of itself"
323,¬ ( ∃ x Dodec ( a ) ∨ ∃ y Small ( y ) ),it is not the case that there is an element x such that a is a dodecahedron or there is an element y such that y is small
324,"¬ ∀ x ( Large ( a ) ∨ RightOf ( x , x ) )","it is not the case that for all x , a is large or x is to the right of itself"
325,∀ x ∃ y ( Even ( a ) → Dodec ( a ) ),"for all x , there is an element y such that if a is even , then a is a dodecahedron"
326,"Medium ( a ) ∨ ( ( Person ( b ) ∧ Adjoins ( c , d ) ) → ∀ x Small ( b ) )","at least one of these holds : \n\t• a is medium \n\t• if b is a person and c is adjacent to d , then for all x , b is small"
327,¬ ∃ x Large ( x ) ∧ ( ( Tet ( a ) → Dodec ( a ) ) ∨ Dodec ( a ) ),"it is not the case that there is an element x such that x is large and at least one of these holds : \n\t• if a is a tetrahedron , then a is a dodecahedron \n\t• a is a dodecahedron"
328,"∀ x ∀ x ∀ x RightOf ( x , x )","for all x , for all x , for all x , x is to the right of itself"
329,"Even ( a ) ∨ ¬ ( FrontOf ( b , a ) → Adjoins ( a , c ) )","a is even or it is not the case that if b is in front of a , then a is adjacent to c"
